Offense Type,Premise,BlockRange,StreetName,Type
Burglary,Residence or House,200-299,CLIFTON,-
Theft,Restaurant or Cafeteria Parking Lot,2300-2399,CANAL,ST
Theft,Restaurant or Cafeteria Parking Lot,2300-2399,CANAL,ST
Burglary,Miscellaneous Business (Non-Specific),4600-4699,CANAL,ST
Theft,"Other, Unknown, or Not Listed",100-199,ADAM,LN
Robbery,"Other, Unknown, or Not Listed",200-299,STILES,-
Burglary,Miscellaneous Business (Non-Specific),5100-5199,HARRISBURG,BLVD
Theft,Bank,600-699,LOCKWOOD,DR
Burglary,Miscellaneous Business (Non-Specific),3500-3599,NAVIGATION,-
Theft,"Road, Street, or Sidewalk",2900-2999,CANAL,ST
Burglary,Residence or House,600-699,STILES,-
Burglary,Other Parking Lot,4500-4599,CANAL,ST
Theft,"Road, Street, or Sidewalk",200-299,EVERTON,ST
Robbery,"Road, Street, or Sidewalk",4300-4399,WILMER,-
Burglary,Residence or House,300-399,ESTELLE,ST
Auto Theft,Apartment Parking Lot,4400-4499,CANAL,ST
Aggravated Assault,"Other, Unknown, or Not Listed",2600-2699,COMMERCE,ST
Theft,Convenience Store Parking Lot,5400-5499,HARRISBURG,BLVD
Aggravated Assault,Apartment,1900-1999,RUNNELS,-
Burglary,Residence or House,300-399,EVERTON,ST
Burglary,Miscellaneous Business (Non-Specific),3600-3699,NAVIGATION,-
Theft,"Road, Street, or Sidewalk",2200-2299,COMMERCE,ST
Theft,Restaurant or Cafeteria Parking Lot,2300-2399,CANAL,ST
Theft,"Road, Street, or Sidewalk",100-199,DELANO,-
Auto Theft,Residence or House,4000-4099,GARROW,-
Burglary,Residence or House,4000-4099,BERING,-
Theft,Other Parking Lot,3000-3099,CANAL,ST
Aggravated Assault,Apartment,1900-1999,RUNNELS,-
Auto Theft,"Road, Street, or Sidewalk",200-299,HAGERMAN,ST
Burglary,"Other, Unknown, or Not Listed",5100-5199,HARRISBURG,BLVD
Burglary,,4700-4799,HARRISBURG,BLVD
Burglary,Miscellaneous Business (Non-Specific),4600-4699,NAVIGATION,-
Robbery,"Road, Street, or Sidewalk",5100-5199,LINDSAY,-
Burglary,Residence or House,UNK,2 RUSK,ST
Robbery,"Road, Street, or Sidewalk",5000-5099,JEFFERSON,ST
Burglary,Commercial Building,700-799,SAINT JOSEPH,-
Auto Theft,"Road, Street, or Sidewalk",3900-3999,COYLE,ST
Burglary,"Vacant Single Occ Resd(House,Townhs,Dplex)",5200-5299,LEELAND,-
Robbery,"Road, Street, or Sidewalk",5000-5099,LINDSAY,-
Burglary,Residence or House,4800-4899,RUSK,ST
Robbery,Residence or House,5200-5299,HILLMAN,-
Theft,"Road, Street, or Sidewalk",3800-3899,LAMAR,-
Aggravated Assault,"Road, Street, or Sidewalk",1300-1399,GUSTAV,-
Robbery,Miscellaneous Business (Non-Specific),4000-4099,POLK,-
Theft,"Road, Street, or Sidewalk",1900-1999,LOMBARDY,ST
Burglary,Residence or House,5100-5199,CLAY,-
Robbery,"Road, Street, or Sidewalk",1600-1699,BAIRD,ST
