Offense Type,Premise,BlockRange,StreetName,Type
Burglary,Residence or House,7200-7299,KARNES,-
Burglary,Apartment,UNK,COLBY ST,ST
Theft,Other Parking Lot,300-399,S JENSEN DR,-
Robbery,Convenience Store Parking Lot,2000-2099,RUNNELS,-
Theft,"Road, Street, or Sidewalk",3000-3099,CANAL ST,ST
Theft,Residence or House,4800-4899,AVENUE H,-
Aggravated Assault,"Road, Street, or Sidewalk",4400-4499,NAVIGATION,-
Theft,"Road, Street, or Sidewalk",14700-14799,HAWKSMOOR,CT
Theft,"Road, Street, or Sidewalk",100-199,N ENNIS ST,ST
Aggravated Assault,Residence or House,11700-11799,GLEN,DR
Theft,"Road, Street, or Sidewalk",2300-2399,CANAL ST,ST
Burglary,Residence or House,4300-4399,CRITES ST,ST
Theft,Residence or House,200-299,GREENWOOD ST,ST
Theft,Other Parking Lot,3500-3599,CANFIELD,-
Aggravated Assault,"Road, Street, or Sidewalk",2200-2299,CHAPPELL,LN
Burglary,Service or Gas Station,3300-3399,CANAL,ST
Burglary,Residence or House,3900-3999,ROTMAN,-
Theft,"Road, Street, or Sidewalk",100-199,LOCKWOOD DR,-
Theft,Service or Gas Station,3300-3399,NAVIGATION,-
AutoTheft,"Road, Street, or Sidewalk",300-399,EVERTON ST,ST
Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,100-199,N SAMPSON ST,ST
Theft,"Road, Street, or Sidewalk",5400-5499,HARRISBURG BLVD,BLVD
Aggravated Assault,"Hotel, Motel, Inn, Etc.",5300-5399,CANAL ST,ST
Burglary,Residence or House,100-199,DELMAR ST,ST
Robbery,Convenience Store Parking Lot,13700-13799,CLARKS FORK,DR
Burglary,Restaurant or Cafeteria,9300-9399,RANDOLPH STREET,-
Burglary,Warehouse,200-299,BROADWAY,ST
Theft,Barber And Beauty Shops,4300-4399,GRADUATE CIRCLE,-
Burglary,Residence or House,5200-5299,LINDSAY,-
Theft,"Road, Street, or Sidewalk",1600-1699,EASTWOOD ST,ST
Burglary,Residence or House,5100-5199,JEFFERSON,-
Theft,Construction Site,3800-3899,LEELAND,-
Burglary,Residence or House,5200-5299,LEELAND,-
Burglary,Residence or House,5200-5299,HILLMAN,ST
Theft,Residence or House,1200-1299,CULLEN BLVD,BLVD
Theft,Driveway,600-699,DUMBLE ST,ST
Theft,Driveway,5300-5399,CLAREMONT ST,ST
Burglary,Garage or Carport,5100-5199,CLAY ST,ST
AutoTheft,Apartment Parking Lot,5000-5099,PEASE ST,ST
AutoTheft,Miscellaneous Business (Non-Specific),3600-3699,MCKINNEY ST,ST
Rape,Residence or House,5100-5199,CLAY ST,ST
Aggravated Assault,Residence or House,5100-5199,CLAY ST,ST
Aggravated Assault,Department or Discount Store,4000-4099,POLK,-
Burglary,Residence or House,1400-1499,LAWSON,-
Robbery,"Road, Street, or Sidewalk",4400-4499,BELL ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",3900-3999,RUSK ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",1700-1799,HUSSION,-
Theft,Service or Gas Station,4700-4799,GULF,FWY
Theft,Garage or Carport,5100-5199,POLK,-
AutoTheft,Driveway,1500-1599,SCHARPE,-
Theft,Grocery Store or Supermarket Parking Lot,4000-4099,POLK,-
Aggravated Assault,Residence or House,4100-4199,RUSK ST,ST
AutoTheft,Driveway,200-299,GREENWOOD,ST
Aggravated Assault,Residence or House,1400-1499,GUSTAV,-
Theft,"Road, Street, or Sidewalk",4000-4099,400O POLK,-
Aggravated Assault,Residence or House,4400-4499,JEFFERSON,ST
Theft,Restaurant or Cafeteria,1500-1599,EMANCIPATION,AVE
Theft,Apartment,2100-2199,CAPITOL ST,ST
Robbery,"Road, Street, or Sidewalk",2800-2899,BENBOW,RD
Theft,Social Services or Public Charities,2000-2099,CONGRESS,-
Robbery,Service or Gas Station,12000-12099,BISSONNET 1611,-
Theft,Bar or Night Club,UNK,RIESNER,-
Theft,"Road, Street, or Sidewalk",2400-2499,POLK,-
Theft,"Road, Street, or Sidewalk",6200-6299,SKYLINE,DR
Theft,Convenience Store Parking Lot,3500-3599,GULF FWY IB,-
AutoTheft,Other Parking Lot,100-199,HUTCHINS ST,ST
AutoTheft,"Road, Street, or Sidewalk",4000-4099,GARROW,-
AutoTheft,Residence or House,3100-3199,LEELAND,-
Theft,Other Parking Lot,1100-1199,PAIGE,-
AutoTheft,"Road, Street, or Sidewalk",900-999,LIVE OAK,-
Theft,"Parks and Recreation, Zoo, Swimming Pool",2100-2199,RUSK ST,ST
Burglary,Construction Site,1700-1799,ENNIS,ST
Theft,"Road, Street, or Sidewalk",1500-1599,HUTCHINS ST,ST
