Offense Type,Premise,BlockRange,StreetName,Type
Theft,Apartment Parking Lot,2400-2499,CANAL ST,ST
Theft,Service or Gas Station,5200-5299,HARRISBURG BLVD,BLVD
Theft,Convenience Store Parking Lot,4100-4199,BARBERRY,DR
Robbery,Apartment,2100-2199,CANAL ST,ST
Aggravated Assault,Apartment Parking Lot,200-299,N BRYAN,-
Theft,Restaurant or Cafeteria,2900-2999,REED,RD
Theft,"Road, Street, or Sidewalk",300-399,CAYLOR,-
Burglary,Miscellaneous Business (Non-Specific),5400-5499,HARRISBURG,BLVD
Theft,Convenience Store,21100-21199,CONCORDIA PARK,LN
Burglary,Auto Repair,5500-5599,HARRISBURG,BLVD
Robbery,"Road, Street, or Sidewalk",300-399,EDGEWOOD ST,ST
Theft,Light Rail Platform,1600-1699,BELLFORT,AVE
Theft,Apartment,2100-2199,CANAL ST,ST
AutoTheft,Residence or House,100-199,EASTWOOD ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",1900-1999,RUNNELS,-
Burglary,Barber And Beauty Shops,2200-2299,NAVIGATION,-
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,ST
Theft,"Other, Unknown, or Not Listed",7100-7199,HILLCROFT AVE 120,-
Burglary,Residence or House,100-199,EVERTON,ST
Theft,Apartment Parking Lot,2100-2199,RUNNELS,-
Burglary,Residence or House,UNK,ENNIS,ST
Robbery,"Road, Street, or Sidewalk",2800-2899,COMMERCE ST,ST
Theft,Restaurant or Cafeteria Parking Lot,900-999,MARIGOLD PARK,PL
Theft,Restaurant or Cafeteria Parking Lot,2500-2599,NAVIGATION,-
Theft,Commercial Parking Lot or Garage,2100-2199,RUNNELS,-
Theft,Apartment Parking Lot,11300-11399,SAGEVALE,-
Theft,Convenience Store,4900-4999,HARRISBURG,BLVD
Theft,"Road, Street, or Sidewalk",2300-2399,SPERBER LN,-
Theft,"Road, Street, or Sidewalk",2300-2399,SPERBER LN,-
Theft,Residence or House,200-299,N BURR,-
Robbery,Bus Stop,2300-2399,CANAL ST,ST
Theft,Driveway,2300-2399,SPERBER LN,-
AutoTheft,Apartment Parking Lot,2100-2199,CANAL ST,ST
Theft,Apartment Parking Lot,2100-2199,CANAL ST,ST
Burglary,Vehicle/Auto Sales/Lease/Auto Parts Store,100-199,HUTCHESON,-
Theft,Light Rail (Metro Rail) Vehicle,5500-5599,HARRISBURG BLVD,BLVD
