Offense Type,Beat,Premise,BlockRange,StreetName,Type
Robbery,10H10,"Road, Street, or Sidewalk",200-299,NOLAN,-
Burglary,10H10,Residence or House,300-399,LOCKWOOD,DR
Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-
Burglary,10H10,Residence or House,100-199,EASTWOOD,ST
Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-
Theft,10H10,Apartment,4800-4899,BRADY,ST
Theft,10H10,Commercial Parking Lot or Garage,2100-2199,CANAL,ST
Theft,10H10,Construction Site,2400-2499,CANAL,ST
Burglary,10H10,Residence or House,4400-4499,BRADY,ST
Auto Theft,10H10,Bar or Night Club Parking Lot,300-399,LOCKWOOD,DR
Auto Theft,10H10,Bar or Night Club Parking Lot,3600-3699,HARRISBURG,BLVD
Theft,10H10,"Parks and Recreation, Zoo, Swimming Pool",4800-4899,HARRISBURG,BLVD
Theft,10H10,"Road, Street, or Sidewalk",5100-5199,NAVIGATION,-
Burglary,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,4900-4999,NAVIGATION,-
Theft,10H10,Driveway,400-499,LENOX,-
Theft,10H10,Other Parking Lot,6100-6199,INDUSTRIAL,WAY
Burglary,10H10,"Gym, Recreat, Club House, Indoor Pool, Spa",2300-2399,CANAL,ST
Theft,10H10,,3600-3699,CANAL,ST
Theft,10H10,"Other, Unknown, or Not Listed",6100-6199,INDUSTRIAL,WAY
Auto Theft,10H10,"Road, Street, or Sidewalk",2400-2499,KENNEDY,-
Theft,10H10,Strip Business Center Parking Lot,5100-5199,HARRISBURG,BLVD
Theft,10H10,Residence or House,2900-2999,COMMERCE,ST
Theft,10H10,Other Parking Lot,600-699,MILBY,ST
Theft,10H10,Apartment Parking Lot,200-299,CAYLOR,-
Robbery,10H10,"Road, Street, or Sidewalk",300-399,LOCKWOOD,DR
Theft,10H10,"Road, Street, or Sidewalk",2300-2399,COMMERCE,ST
Auto Theft,10H10,"Road, Street, or Sidewalk",5800-5899,NAVIGATION,-
Theft,10H10,Other Parking Lot,2200-2299,ANN,ST
Rape,10H10,Service or Gas Station,300-399,LOCKWOOD,DR
Theft,10H10,Construction Site,3300-3399,HARRISBURG,BLVD
Theft,10H10,Driveway,100-199,MARSDEN,-
Theft,10H10,Service or Gas Station,5000-5099,HARRISBURG,BLVD
Theft,10H10,"Road, Street, or Sidewalk",2400-2499,COMMERCE,ST
Theft,10H10,Residence or House,300-399,N. ST. CHARLES,-
Theft,10H10,Residence or House,300-399,HAGERMAN,ST
Theft,10H10,"Road, Street, or Sidewalk",2400-2499,KENNEDY,-
Theft,10H10,Residence or House,300-399,SAINT CHARLES,-
Theft,10H10,Other Parking Lot,3100-3199,BERING,-
Theft,10H10,"Road, Street, or Sidewalk",100-199,ESTELLE,ST
Auto Theft,10H10,Apartment Parking Lot,5300-5399,HARRISBURG,BLVD
Auto Theft,10H10,"Road, Street, or Sidewalk",4600-4699,SCHROEDER,-
Theft,10H10,Miscellaneous Business (Non-Specific),4700-4799,NAVIGATION,-
Theft,10H10,Commercial Parking Lot or Garage,2100-2199,RUNNELS,-
Theft,10H10,Residence or House,200-299,ESTELLE,ST
Auto Theft,10H10,Driveway,5000-5099,BRADY,ST
Theft,10H10,Residence or House,100-199,YORK,ST
Burglary,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,5100-5199,HARRISBURG,BLVD
Theft,10H10,Light Rail (Metro Rail) Vehicle,5800-5899,TEXAS,ST
Burglary,10H10,"Multi-Plex Home (Duplex,Triplex Etc.)",4400-4499,CANAL,ST
Robbery,10H10,"Road, Street, or Sidewalk",100-199,SIDNEY,-
Theft,10H20,Residence or House,4800-4899,RUSK,ST
Auto Theft,10H20,"Road, Street, or Sidewalk",5200-5299,LAWNDALE,-
Theft,10H20,Department or Discount Store,4000-4099,POLK,-
Theft,10H20,Other Parking Lot,5300-5399,POLK,-
Aggravated Assault,10H20,Construction Site,1300-1399,DIEZ,ST
Robbery,10H20,Garage or Carport,800-899,FASHION,-
Theft,10H20,Grocery Store or Supermarket,4000-4099,POLK,-
Theft,10H20,Driveway,4000-4099,RUSK,ST
Robbery,10H20,"Road, Street, or Sidewalk",4300-4399,PEASE,ST
Auto Theft,10H20,"Road, Street, or Sidewalk",4400-4499,MCKINNEY,ST
Aggravated Assault,10H20,Apartment Parking Lot,5300-5399,BELL,ST
Theft,10H20,Department or Discount Store,4000-4099,POLK,-
Theft,10H20,Miscellaneous Business (Non-Specific),1700-1799,CULLEN,BLVD
Burglary,10H20,Residence or House,4500-4599,WOODSIDE,ST
Theft,10H20,Driveway,4200-4299,DALLAS,ST
Theft,10H20,Residence or House,4400-4499,CLAY,-
Robbery,10H20,"Road, Street, or Sidewalk",900-999,MILBY,-
Theft,10H20,Park and Ride Terminal,1200-1299,MUNGER,ST
Burglary,10H20,Residence or House,4000-4099,LAMAR,-
Burglary,10H20,"Vacant Single Occ Resd(House,Townhs,Dplex)",5200-5299,LEELAND,-
Burglary,10H20,Miscellaneous Business (Non-Specific),1500-1599,TELEPHONE,RD
Theft,10H20,"Road, Street, or Sidewalk",3900-3999,WOODLEIGH,-
Burglary,10H20,Commercial Building,3900-3999,MCKINNEY,ST
Auto Theft,10H20,Residence or House,1500-1599,LAWSON,-
Robbery,10H20,"Road, Street, or Sidewalk",600-699,DUMBLE,ST
Theft,10H20,Commercial Parking Lot or Garage,800-899,TELEPHONE,RD
Robbery,10H20,Convenience Store,5300-5399,POLK,-
Aggravated Assault,10H20,Restaurant or Cafeteria Parking Lot,5000-5099,PEASE,ST
Theft,10H20,"Multi-Plex Home (Duplex,Triplex Etc.)",4400-4499,MCKINNEY,ST
Aggravated Assault,10H20,Bar or Night Club Parking Lot,80300-80399,PARK PLACE,BLVD
Burglary,10H20,"Multi-Plex Home (Duplex,Triplex Etc.)",1900-1999,SIDNEY,-
Auto Theft,10H20,Driveway,5200-5299,CLAY,-
Theft,10H20,Grocery Store or Supermarket,4000-4099,POLK,-
Theft,10H30,"Stadium, Sports Arena, Race Track",2200-2299,TEXAS,ST
Robbery,10H30,"Road, Street, or Sidewalk",2400-2499,WALKER,ST
Theft,10H30,Restaurant or Cafeteria Parking Lot,2000-2099,JEFFERSON,ST
Theft,10H30,"Other, Unknown, or Not Listed",400-499,DOWLING,ST
Theft,10H30,"Road, Street, or Sidewalk",2400-2499,DALLAS,ST
Burglary,10H30,Residence or House,3500-3599,DENVER,ST
Theft,10H30,"Road, Street, or Sidewalk",2400-2499,DALLAS,ST
Robbery,10H30,Convenience Store,3500-3599,GULF,FWY
Robbery,10H30,Other Parking Lot,2300-2399,MCKINNEY,ST
Theft,10H30,Other Parking Lot,2200-2299,TEXAS,ST
Robbery,10H30,"Road, Street, or Sidewalk",3600-3699,COYLE,ST
Theft,10H30,Miscellaneous Business (Non-Specific),400-499,DOWLING,ST
Robbery,10H30,Restaurant or Cafeteria,900-999,SAINT EMANUEL,ST
Burglary,10H30,Vacant Building (Commercial),2100-2199,DALLAS,ST
Theft,10H30,Convenience Store Parking Lot,3500-3599,GULF,FWY
Theft,10H30,Bar or Night Club,2100-2199,RUSK,ST
Theft,10H30,Commercial Parking Lot or Garage,300-399,BASTROP,ST
Theft,10H30,Apartment Parking Lot,2900-2999,DALLAS,ST
Theft,10H30,"Road, Street, or Sidewalk",2200-2299,POLK,-
Auto Theft,10H30,"Road, Street, or Sidewalk",900-999,MCKINNEY PARK,LN
Theft,10H30,Commercial Parking Lot or Garage,2400-2499,MCKINNEY,ST
Robbery,10H30,"Road, Street, or Sidewalk",2200-2299,POLK,-
Aggravated Assault,10H30,Bar or Night Club,800-899,SAINT EMANUEL,ST
Theft,10H30,"Road, Street, or Sidewalk",1600-1699,LIVE OAK,-
Theft,10H30,Bar or Night Club,800-899,SAINT EMANUEL,ST
Theft,10H30,Other Parking Lot,2100-2199,LAMAR,-
Theft,10H30,"Road, Street, or Sidewalk",300-399,SAINT EMANUEL,ST
Theft,10H30,"Road, Street, or Sidewalk",900-999,SAINT CHARLES,-
Burglary,10H30,Miscellaneous Business (Non-Specific),2500-2599,POLK,-
Theft,10H30,"Road, Street, or Sidewalk",2300-2399,DALLAS,ST
Theft,10H30,Other Parking Lot,2400-2499,CAPITOL,ST
Theft,10H30,"Road, Street, or Sidewalk",2300-2399,DALLAS,ST
Theft,10H30,Residence or House,1000-1099,ROBERTS,ST
Rape,10H30,"Stadium, Sports Arena, Race Track",UNK,NRG PARKWAY,-
Theft,10H30,"Road, Street, or Sidewalk",1000-1099,DOWLING,ST
