Offense Type,Premise,BlockRange,StreetName,Type
Theft,Apartment,300-399,LIVE OAK,ST
Theft,Residence or House,300-399,ENNIS,ST
Theft,Apartment Parking Lot,2100-2199,CANAL,ST
Theft,Apartment Parking Lot,2800-2899,CANAL,ST
Theft,Apartment Parking Lot,2100-2199,RUNNELS,-
Theft,"Road, Street, or Sidewalk",400-499,LOCKWOOD,DR
Burglary,"Laundry, Dry Cleaners, Washaterias",2000-2099,RUNNELS,-
Aggravated Assault,"Road, Street, or Sidewalk",4400-4499,NAVIGATION,-
Theft,Restaurant or Cafeteria Parking Lot,2800-2899,NAVIGATION,-
Theft,"Road, Street, or Sidewalk",2300-2399,COMMERCE,ST
Theft,Apartment Parking Lot,2100-2199,CANAL,ST
Theft,"Road, Street, or Sidewalk",2400-2499,ROUFA,RD
Theft,Hospital Parking Lot,100-199,ST CHARLES,-
Aggravated Assault,Apartment,2800-2899,CANAL,ST
Theft,,3600-3699,CANAL,ST
Theft,Apartment Parking Lot,300-399,STILES,-
Theft,Driveway,2300-2399,ANN,ST
Theft,Driveway,UNK,CANAL,CT
Burglary,Apartment,2100-2199,CANAL,ST
Theft,Driveway,UNK,ENNIS,ST
Theft,Car Wash,5300-5399,HARRISBURG,BLVD
Auto Theft,"Road, Street, or Sidewalk",2500-2599,CANAL,ST
Theft,Other Parking Lot,500-599,HUTCHESON,ST
Theft,Apartment Parking Lot,2100-2199,RUNNELS,-
Theft,Residence or House,2300-2399,ANN,ST
Theft,"Road, Street, or Sidewalk",2900-2999,CANAL,ST
Robbery,Apartment Parking Lot,1900-1999,RUNNELS,-
Burglary,"Other, Unknown, or Not Listed",300-399,DELMAR,ST
Theft,Restaurant or Cafeteria Parking Lot,2500-2599,NAVIGATION,-
Theft,Apartment Parking Lot,2100-2199,RUNNELS,-
Theft,"Road, Street, or Sidewalk",2400-2499,ROUFA,RD
Burglary,Apartment,1900-1999,RUNNELS,-
Theft,"Road, Street, or Sidewalk",2300-2399,SPERBER,LN
Auto Theft,Residence or House,UNK,SIDNEY,-
Robbery,Light Rail (Metro Rail) Vehicle,4500-4599,HARRISBURG,BLVD
Aggravated Assault,"Road, Street, or Sidewalk",100-199,KENDALL,-
Theft,Bar or Night Club,3500-3599,HARRISBURG,BLVD
Theft,Police Station,6100-6199,INDUSTRIAL,WAY
Robbery,"Road, Street, or Sidewalk",2800-2899,CANAL,ST
Aggravated Assault,Residence or House,100-199,KENDALL,ST
Burglary,Residence or House,4500-4599,CANAL,ST
Aggravated Assault,Residence or House,100-199,YORK,ST
Aggravated Assault,Residence or House,4800-4899,SHERMAN,-
Robbery,Residence or House,100-199,YORK,ST
Theft,"Road, Street, or Sidewalk",UNK,SIDNEY,-
Robbery,"Road, Street, or Sidewalk",300-399,JENSEN,DR
Burglary,Residence or House,600-699,YORK,ST
Theft,"Road, Street, or Sidewalk",2500-2599,GARROW,-
Burglary,Apartment,1900-1999,RUNNELS,-
Burglary,Convenience Store,3300-3399,CANAL,ST
Theft,Residence or House,100-199,SUPER,-
Auto Theft,Convenience Store Parking Lot,3700-3799,HARRISBURG,BLVD
Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,6100-6199,INDUSTRIAL,WAY
Auto Theft,Residence or House,200-299,BRYAN,-
Theft,Driveway,4800-4899,HARRISBURG,BLVD
Rape,Residence or House,6000-6099,GARROW,-
Theft,Construction Site,1500-1599,KEATING,-
Aggravated Assault,"Road, Street, or Sidewalk",UNK,RUSK AND EASTWOOD,-
Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,900-999,TELEPHONE,RD
Burglary,Rental Storage Facility,3800-3899,LAMAR,-
Rape,Residence or House,1600-1699,MARLIN,ST
Rape,"Road, Street, or Sidewalk",4800-4899,WALKER,ST
Robbery,Driveway,1600-1699,DUMBLE,ST
Robbery,Department or Discount Store,4000-4099,POLK,-
Theft,Apartment,1700-1799,FOURCADE,ST
Theft,Residence or House,5200-5299,GULF,FWY
Burglary,Residence or House,5200-5299,MULFORD,-
Robbery,"Road, Street, or Sidewalk",1300-1399,SIDNEY,-
Theft,Driveway,5200-5299,JEFFERSON,ST
Theft,Residence or House,1300-1399,ELLISTON,ST
Auto Theft,Residence or House,1500-1599,ELLIOTT,ST
Theft,"Road, Street, or Sidewalk",4100-4199,WALKER,ST
Auto Theft,Service or Gas Station,4900-4999,POLK,-
Burglary,Body Shop,4400-4499,GULF,FWY
Auto Theft,"Road, Street, or Sidewalk",1000-1099,ELLIOTT,ST
Theft,Restaurant or Cafeteria,5400-5499,LAWNDALE,-
Theft,Grocery Store or Supermarket,4000-4099,POLK,-
Rape,"Road, Street, or Sidewalk",2000-2099,TELEPHONE,RD
Theft,Grocery Store or Supermarket,4000-4099,POLK,-
Theft,"Other, Unknown, or Not Listed",1700-1799,FOURCADE,ST
Aggravated Assault,Apartment,900-999,ALTIC,ST
Auto Theft,Residence or House,1400-1499,LAWSON,-
Robbery,Apartment,4800-4899,POLK,-
Burglary,Vacant Building (Commercial),1600-1699,CULLEN,BLVD
Theft,Department or Discount Store,4000-4099,POLK,-
Theft,Residence or House,4700-4799,PEASE,ST
Auto Theft,Apartment Parking Lot,2400-2499,CAPITOL,ST
Burglary,Garage or Carport,1400-1499,ENNIS,ST
Theft,Other Parking Lot,2400-2499,MCKINNEY,ST
Theft,Other Parking Lot,300-399,BASTROP,ST
Theft,"Road, Street, or Sidewalk",1300-1399,HUTCHINS,-
Theft,Apartment Parking Lot,2400-2499,CAPITOL,ST
Theft,"Road, Street, or Sidewalk",3200-3299,POLK,-
Burglary,Residence or House,2700-2799,POLK,-
Aggravated Assault,Commercial Building,3200-3299,MCKINNEY,ST
Theft,"Road, Street, or Sidewalk",600-699,NAGLE,-
Theft,"Road, Street, or Sidewalk",100-199,COLUMBIA TAP BIKE,TRL
Robbery,Restaurant or Cafeteria Parking Lot,2000-2099,COMMERCE,ST
Auto Theft,"Road, Street, or Sidewalk",1500-1599,PALMER,ST
Theft,Garage or Carport,2900-2999,DALLAS,ST
Theft,"Road, Street, or Sidewalk",300-399,SAINT EMANUEL,ST
Theft,"Road, Street, or Sidewalk",2000-2099,BELL,ST
Aggravated Assault,"Road, Street, or Sidewalk",300-399,CHARTRES,ST
Theft,Restaurant or Cafeteria Parking Lot,1500-1599,HUTCHINS,-
Auto Theft,"Road, Street, or Sidewalk",2100-2199,CLAY,-
Burglary,Miscellaneous Business (Non-Specific),2600-2699,BELL,ST
Theft,Bar or Night Club,800-899,SAINT EMANUEL,ST
Aggravated Assault,"Road, Street, or Sidewalk",1500-1599,ST EMANUEL,ST
Robbery,"Road, Street, or Sidewalk",3200-3299,LAMAR,-
Theft,"Road, Street, or Sidewalk",1100-1199,DELANO,-
Theft,"Road, Street, or Sidewalk",2100-2199,POLK,-
Theft,Social Services or Public Charities,400-499,DOWLING,ST
Theft,"Road, Street, or Sidewalk",2100-2199,DALLAS,ST
