Offense Type,Beat,Premise,BlockRange,StreetName,Type
Theft,10H10,Restaurant or Cafeteria Parking Lot,2800-2899,NAVIGATION,-
Theft,10H10,Apartment Parking Lot,2100-2199,CANAL ST,ST
Theft,10H10,Miscellaneous Business (Non-Specific),4700-4799,HARRISBURG,BLVD
Robbery,10H10,"Road, Street, or Sidewalk",1600-1699,BERING,DR
Aggravated Assault,10H10,Apartment Parking Lot,5800-5899,BELNEATH,-
AutoTheft,10H10,Driveway,100-199,CHRISTENSEN ST,ST
Aggravated Assault,10H10,Apartment,200-299,CAYLOR,ST
Aggravated Assault,10H10,Residence or House,5300-5399,AVENUE J,-
Aggravated Assault,10H10,"Road, Street, or Sidewalk",5100-5199,HARRISBURG BLVD OB,-
Theft,10H10,Not Listed,UNK,N.HUTCHESON,-
Theft,10H10,Restaurant or Cafeteria Parking Lot,2800-2899,NAVIGATION,-
Theft,10H10,Residence or House,7300-7399,SHERMAN APT,-
Theft,10H10,"Road, Street, or Sidewalk",100-199,NAGLE STREET,-
Aggravated Assault,10H10,Convenience Store,5500-5599,SOUTHLEA,ST
Burglary,10H10,"Multi-Plex Home (Duplex,Triplex Etc.)",2900-2999,COMMERCE ST,ST
Theft,10H10,Other Parking Lot,400-499,ST EMANUEL,-
Burglary,10H10,Residence or House,2800-2899,CANAL,ST
Theft,10H10,"Road, Street, or Sidewalk",2000-2099,RUNNELS,-
Aggravated Assault,10H10,Residence or House,200-299,LINWOOD,-
Burglary,10H10,"Vacant Single Occ Resd(House,Townhs,Dplex)",400-499,N NAGLE,-
AutoTheft,10H10,Miscellaneous Business (Non-Specific),2500-2599,COMMERCE ST,ST
Theft,10H10,Commercial Parking Lot or Garage,6300-6399,STILLWELL,ST
Burglary,10H10,Miscellaneous Business (Non-Specific),3300-3399,CANAL,ST
Theft,10H10,Driveway,5400-5499,N CAPITOL ST,ST
Burglary,10H10,Residence or House,1400-1499,NORTH LOOP WEST SUITE 720,-
Burglary,10H10,Convenience Store,5000-5099,HARRISBURG,BLVD
AutoTheft,10H10,Apartment Parking Lot,2100-2199,CANAL ST,ST
Burglary,10H10,Apartment,1900-1999,RUNNELS,-
Robbery,10H10,"Road, Street, or Sidewalk",4400-4499,GARROW,-
Theft,10H10,Other Parking Lot,6000-6099,NAVIGATION,-
Burglary,10H10,"Vacant Storage Fac (Barn,Garage,Warehouse)",3100-3199,ENGELKE,ST
Aggravated Assault,10H10,"Road, Street, or Sidewalk",200-299,SUPER,-
Theft,10H10,Commercial Parking Lot or Garage,100-199,HAGERMAN,ST
Robbery,10H10,Driveway,5400-5499,TEXAS ST,ST
Theft,10H10,Commercial Parking Lot or Garage,12800-12899,ROYDON DR APT 311,-
Theft,10H10,"Road, Street, or Sidewalk",100-199,ESTELLE ST,ST
Theft,10H10,"Road, Street, or Sidewalk",1900-1999,RUNNELS,-
Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-
Theft,10H10,Commercial Parking Lot or Garage,2900-2999,GILLESPIE STREET,-
Aggravated Assault,10H20,Apartment,4400-4499,RUSK ST,ST
Theft,10H20,Private School,5400-5499,LAWNDALE,-
Theft,10H20,Residence or House,5300-5399,LEELAND,-
Burglary,10H20,"Vacant Single Occ Resd(House,Townhs,Dplex)",3900-3999,COYLE ST,ST
Theft,10H20,Private School,5400-5499,PO BOX 209040,-
Theft,10H20,Construction Site,3800-3899,LEELAND,-
Burglary,10H20,"Vacant Single Occ Resd(House,Townhs,Dplex)",4100-4199,MCKINNEY ST,ST
Theft,10H20,Grocery Store or Supermarket Parking Lot,3800-3899,CHARLESTON,ST
AutoTheft,10H20,"Road, Street, or Sidewalk",6600-6699,AVENUE U,-
Theft,10H20,"Road, Street, or Sidewalk",1400-1499,COLLIER,-
Burglary,10H20,Apartment,1800-1899,HUSSION,-
Aggravated Assault,10H20,"Road, Street, or Sidewalk",1700-1799,HUSSION,ST
AutoTheft,10H20,Apartment Parking Lot,4900-4999,CURTIN ST,ST
Robbery,10H20,Miscellaneous Business (Non-Specific),1300-1399,CULLEN,BLVD
Burglary,10H20,Construction Site,4800-4899,WALNUT,ST
Theft,10H20,"Road, Street, or Sidewalk",4300-4399,JEFFERSON ST,ST
Burglary,10H20,"Vacant Other Residential (Apartment,Dorms)",2700-2799,FIELD LINE,DR
Burglary,10H20,"Vacant Other Residential (Apartment,Dorms)",2700-2799,FIELD LINE,DR
Robbery,10H20,Driveway,400-499,LATHAM,ST
Aggravated Assault,10H20,Residence or House,5100-5199,PEASE,ST
Aggravated Assault,10H20,Residence or House,5100-5199,HARRISBURG,BLVD
Robbery,10H20,"Road, Street, or Sidewalk",6600-6699,AVENUE F,-
Theft,10H20,Bus Station,1200-1299,MUNGER ST,ST
Theft,10H20,Apartment,4400-4499,COYLE ST,ST
Burglary,10H20,Residence or House,1500-1599,LAWSON,-
Theft,10H20,Convenience Store,4700-4799,GULF,FWY
Theft,10H20,Service or Gas Station,1400-1499,TELEPHONE RD,RD
Burglary,10H20,Residence or House,1100-1199,ELLISTON ST,ST
Burglary,10H20,"Factory, Manufacturing, or Industrial",3800-3899,LAMAR,-
Theft,10H20,Grocery Store or Supermarket,4300-4399,PEASE ST,ST
Theft,10H20,Residence or House,5100-5199,PEASE ST,ST
Burglary,10H20,Residence or House,14400-14499,MISTY MEADOW,LN
Burglary,10H20,Rental Storage Facility,3800-3899,LAMAR,-
Theft,10H30,"Road, Street, or Sidewalk",3300-3399,JEFFERSON ST,ST
Theft,10H30,"Road, Street, or Sidewalk",2400-2499,LEELAND,-
