Offense Type,Premise,BlockRange,StreetName,Type
AutoTheft,"Road, Street, or Sidewalk",500-599,N LIVE OAK ST,ST
Theft,Restaurant or Cafeteria Parking Lot,4100-4199,BILLINGSLEY,-
Theft,Bar or Night Club Parking Lot,3100-3199,BERING,-
Theft,"Road, Street, or Sidewalk",2900-2999,COMMERCE ST,ST
Aggravated Assault,Residence or House,UNK,N GREENWOOD,-
Theft,Commercial Parking Lot or Garage,2100-2199,RUNNELS,-
Robbery,"Road, Street, or Sidewalk",1900-1999,RUNNELS,-
Theft,Driveway,100-199,LINWOOD,-
Theft,Commercial Building,4500-4599,HARRISBURG,BLVD
Theft,Commercial Parking Lot or Garage,5000-5099,HARRISBURG BLVD OB,-
Theft,Apartment Parking Lot,2100-2199,CANAL ST,ST
Robbery,Vehicle/Auto Sales/Lease/Auto Parts Store,5100-5199,HARRISBURG,BLVD
Theft,"Road, Street, or Sidewalk",1400-1499,LONG VIEW DRIVE,-
Theft,Driveway,2100-2199,CANAL ST,ST
Theft,Commercial Parking Lot or Garage,3300-3399,CANAL,ST
Theft,Restaurant or Cafeteria Parking Lot,2300-2399,CANAL ST,ST
AutoTheft,Apartment Parking Lot,1900-1999,RUNNELS,-
Aggravated Assault,Apartment Parking Lot,2100-2199,RUNNELS,-
Theft,"Road, Street, or Sidewalk",3000-3099,CANAL ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",300-399,CAYLOR,-
Aggravated Assault,Garage or Carport,2100-2199,RUNNELS,-
Theft,Residence or House,200-299,DRENNAN ST,ST
Burglary,Residence or House,300-399,HUTCHESON,-
Robbery,"Road, Street, or Sidewalk",1200-1299,CULLEN APT A,-
Theft,Construction Site,600-699,N LIVE OAK ST,ST
Theft,Vacant Other Out Build/Monument/UnderConst,300-399,PALMER,-
Robbery,"Road, Street, or Sidewalk",100-199,N EDGEWOOD ST,ST
Theft,Bar or Night Club Parking Lot,700-799,RAZEE,CT
Theft,Restaurant or Cafeteria Parking Lot,2400-2499,NAVIGATION,-
Aggravated Assault,"Road, Street, or Sidewalk",2900-2999,COLONIAL,DR
Aggravated Assault,Light Rail (Metro Rail) Vehicle,4500-4599,HARRISBURG BLVD IB,-
Theft,"Road, Street, or Sidewalk",200-299,N SUPER ST,ST
Theft,Other Parking Lot,5100-5199,CANAL ST,ST
Theft,"Road, Street, or Sidewalk",2300-2399,COMMERCE,ST
Theft,"Road, Street, or Sidewalk",3000-3099,COMMERCE ST,ST
Theft,Driveway,100-199,CAYLOR,-
Theft,Grocery Store or Supermarket Parking Lot,3900-3999,POLK,-
Theft,Bar or Night Club Parking Lot,1600-1699,DUMBLE,ST
Theft,Government or Public Building,5400-5499,POLK,ST
Theft,"Road, Street, or Sidewalk",5200-5299,LINDSAY,-
AutoTheft,"Road, Street, or Sidewalk",8100-8199,HICKOK,LN
Theft,Construction Site,1000-1099,HIGHWAY 6 SOUTH SUITE 214,-
Robbery,"Road, Street, or Sidewalk",3800-3899,WALKER ST,ST
Theft,Convenience Store,4200-4299,POLK,-
Aggravated Assault,"Road, Street, or Sidewalk",4700-4799,RUSK,ST
Aggravated Assault,"Road, Street, or Sidewalk",1400-1499,HUSSION,-
Theft,Convenience Store,1000-1099,TELEPHONE RD,RD
Theft,Driveway,1500-1599,MUNGER ST,ST
Theft,"Other, Unknown, or Not Listed",4000-4099,RUSK ST,ST
Theft,Apartment Parking Lot,5000-5099,CLAREMONT,-
Burglary,Garage or Carport,5100-5199,JEFFERSON ST,ST
Robbery,Service or Gas Station,4700-4799,GULF,FWY
Theft,Driveway,5200-5299,CLAREMONT ST,ST
Theft,"Road, Street, or Sidewalk",800-899,DELANO,-
Theft,Bar or Night Club Parking Lot,2100-2199,RUSK ST,ST
Theft,Apartment Parking Lot,1300-1399,PRESTON,ST
Theft,Apartment Parking Lot,2400-2499,CAPITOL ST. APT. 2409,-
Theft,Apartment Parking Lot,11600-11699,HUEBNER ROAD APT 910,-
Theft,Apartment Parking Lot,8200-8299,CICADA,DR
Theft,Apartment Parking Lot,2300-2399,POLK ST APT 208,-
Theft,"Road, Street, or Sidewalk",1400-1499,HUTCHINS,-
Theft,Other Parking Lot,800-899,DELANO,-
Theft,Residence or House,700-799,LIVE OAK,-
Theft,Apartment Parking Lot,1400-1499,SHEFFIELD,BLVD
Theft,Apartment Parking Lot,3500-3599,MESA,RD
Theft,Garage or Carport,2300-2399,POLK,-
Theft,Driveway,2400-2499,CAPITOL ST,ST
Theft,Apartment Parking Lot,2200-2299,MCKINNEY ST,ST
Theft,Apartment Parking Lot,2100-2199,CAPITOL ST,ST
Theft,Apartment Parking Lot,2300-2399,POLK,-
Theft,"Road, Street, or Sidewalk",900-999,MCKINNEY PARK LN,-
Theft,Apartment Parking Lot,2200-2299,MCKINNEY ST,ST
Theft,Apartment Parking Lot,2300-2399,POLK,-
Theft,"Road, Street, or Sidewalk",2100-2199,LAMAR,-
AutoTheft,Construction Site,10200-10299,SYNOTT,-
Theft,Bus Stop,400-499,DOWLING ST,ST
Theft,Apartment Parking Lot,2400-2499,CAPITOL STREET,-
Theft,Convenience Store,3500-3599,GULF,FWY
Burglary,Restaurant or Cafeteria,2100-2199,JEFFERSON,ST
Theft,Other Parking Lot,400-499,BASTROP ST,ST
Theft,Other Parking Lot,7300-7399,BROCKLEY,LN
AutoTheft,Bar or Night Club Parking Lot,2000-2099,WALKER ST,ST
Burglary,Residence or House,1000-1099,LIVE OAK,-
AutoTheft,Commercial Parking Lot or Garage,2000-2099,2,ST
Theft,Government or Public Building,2000-2099,CONGRESS,-
