Offense Type,Premise,BlockRange,StreetName,Type
Theft,Commercial Parking Lot or Garage,3200-3299,HARRISBURG,BLVD
Aggravated Assault,Residence or House,4100-4199,BASIL,ST
Theft,Convenience Store Parking Lot,4800-4899,HARRISBURG,BLVD
Theft,Residence or House,400-499,NORWOOD,-
Burglary,Warehouse,300-399,VELASCO,-
Theft,Bank or Savings Institution Parking Lot,600-699,YORK,ST
Robbery,"Road, Street, or Sidewalk",5600-5699,HARRISBURG,BLVD
Theft,Residence or House,4300-4399,GARROW,-
Auto Theft,Driveway,100-199,BURR,-
Burglary,"Road, Street, or Sidewalk",200-299,LENOX,ST
Theft,Residence or House,400-499,MILBY,ST
Burglary,"Pawn, Resale Shop, or Flea Market",5800-5899,HARRISBURG,BLVD
Theft,Driveway,3000-3099,HAWKINS,-
Theft,Construction Site,300-399,DRENNAN,ST
Robbery,"Road, Street, or Sidewalk",5000-5099,SHERMAN,-
Aggravated Assault,"Road, Street, or Sidewalk",200-299,JENSEN,DR
Aggravated Assault,"Road, Street, or Sidewalk",2700-2799,FOX,ST
Theft,"Road, Street, or Sidewalk",3500-3599,HARRISBURG,BLVD
Theft,Other Parking Lot,3100-3199,BERING,-
Theft,Miscellaneous Business (Non-Specific),5500-5599,HARRISBURG,BLVD
Robbery,Restaurant or Cafeteria,300-399,LOCKWOOD,DR
Robbery,Convenience Store Parking Lot,5000-5099,HARRISBURG,BLVD
Burglary,Apartment,1900-1999,RUNNELS,-
Burglary,Residence or House,200-299,ENGEL,ST
Theft,Convenience Store Parking Lot,300-399,LOCKWOOD,DR
Aggravated Assault,Apartment,1900-1999,RUNNELS,-
Theft,"Road, Street, or Sidewalk",300-399,DELANO,-
Robbery,"Road, Street, or Sidewalk",5200-5299,CANAL,ST
Burglary,"Electronics Store, Electrical Supplies",5100-5199,HARRISBURG,BLVD
Theft,Other Parking Lot,3000-3099,CANAL,ST
Theft,Bar or Night Club Parking Lot,3100-3199,HARRISBURG,BLVD
Robbery,"Road, Street, or Sidewalk",UNK,SUPER,-
Burglary,Auto Repair,5700-5799,HARRISBURG,BLVD
Theft,"Road, Street, or Sidewalk",3000-3099,CANAL,ST
Theft,Grocery Store or Supermarket Parking Lot,4000-4099,POLK,-
Theft,Residence or House,1400-1499,GUSTAV,-
Theft,"Road, Street, or Sidewalk",1100-1199,ELLISTON,ST
Theft,"Daycare, Child Care, or Kindergarten",900-999,ALTIC,ST
Theft,Driveway,1400-1499,MUNGER,ST
Burglary,Residence or House,5400-5499,CAPITOL,ST
Theft,Driveway,3900-3999,WOODLEIGH,-
Auto Theft,Residence or House,4500-4599,RUSK,ST
Theft,Driveway,5100-5199,PEASE,ST
Theft,Department or Discount Store,1800-1899,DUMBLE,ST
Aggravated Assault,Residence or House,4600-4699,WOODSIDE,ST
Theft,Driveway,4400-4499,LEELAND,-
Theft,Commercial Parking Lot or Garage,2000-2099,DUMBLE,ST
Theft,Residence or House,4400-4499,COYLE,ST
Theft,"Multi-Plex Home (Duplex,Triplex Etc.)",4200-4299,RUSK,ST
Theft,Miscellaneous Business (Non-Specific),4400-4499,GULF,FWY
Theft,"Road, Street, or Sidewalk",1100-1199,DUMBLE,ST
Burglary,Residence or House,4700-4799,BELL,ST
Theft,Apartment Parking Lot,4800-4899,OAKLAND,-
Theft,Elementary School,5400-5499,LAWNDALE,-
Theft,"Road, Street, or Sidewalk",4400-4499,PEASE,ST
