Offense Type,Premise,BlockRange,StreetName,Type
AutoTheft,Driveway,200-299,DELANO,-
Theft,"Road, Street, or Sidewalk",200-299,PALMER,ST
Burglary,Garage or Carport,3000-3099,COMMERCE,ST
Burglary,Convenience Store,UNK,LOCKWOOD,DR
AutoTheft,Commercial Parking Lot or Garage,3200-3299,COMMERCE,ST
Theft,Other Parking Lot,3300-3399,CANAL,ST
Theft,Apartment,200-299,EVERTON,ST
Theft,"Road, Street, or Sidewalk",UNK,EDGEWOOD,ST
Theft,Commercial Parking Lot or Garage,3300-3399,CANAL,ST
Aggravated Assault,Convenience Store Parking Lot,2000-2099,RUNNELS,-
Theft,"Road, Street, or Sidewalk",3000-3099,CANAL,ST
Theft,Residence or House,4700-4799,AVENUE H,-
Robbery,"Road, Street, or Sidewalk",UNK,HUTCHESON,ST
Burglary,"Multi-Plex Home (Duplex,Triplex Etc.)",500-599,EASTWOOD,ST
Burglary,Miscellaneous Business (Non-Specific),300-399,JENSEN,DR
Aggravated Assault,Convenience Store,300-399,LOCKWOOD,DR
Aggravated Assault,Apartment,2100-2199,CANAL,ST
Theft,Other Parking Lot,300-399,JENSEN,DR
Theft,Commercial Parking Lot or Garage,200-299,NORWOOD,ST
Theft,"Church, Synagogue, or Temple",300-399,ADAMS,ST
AutoTheft,"Road, Street, or Sidewalk",300-399,EASTWOOD,ST
AutoTheft,Commercial Parking Lot or Garage,6100-6199,INDUSTRIAL,WAY
Burglary,Bar or Night Club,300-399,LOCKWOOD,DR
Theft,Driveway,200-299,SAINT CHARLES,ST
Theft,Residence or House,500-599,ESTELLE,ST
Burglary,"Multi-Plex Home (Duplex,Triplex Etc.)",400-499,DELMAR,ST
AutoTheft,Apartment Parking Lot,400-499,HUTCHESON,ST
Theft,Apartment,3300-3399,HARRISBURG,BLVD
Aggravated Assault,Convenience Store Parking Lot,4800-4899,HARRISBURG,BLVD
Robbery,"Road, Street, or Sidewalk",200-299,DELANO,-
Aggravated Assault,Residence or House,4000-4099,GARROW,-
Theft,Other Parking Lot,3400-3499,HARRISBURG,BLVD
Aggravated Assault,Bar or Night Club Parking Lot,4500-4599,IRA,-
Theft,Bank,100-199,LENOX,ST
Burglary,"Multi-Plex Home (Duplex,Triplex Etc.)",3800-3899,MENARD,RD
Burglary,Residence or House,200-299,229.5 LENOX,-
Aggravated Assault,Bar or Night Club,3600-3699,HARRISBURG,BLVD
Theft,Apartment Parking Lot,2100-2199,CANAL,ST
Theft,Residence or House,2200-2299,ANN,ST
Aggravated Assault,Residence or House,5100-5199,LEELAND,-
Robbery,Residence or House,1300-1399,1309.5 TELEPHONE RD,RD
Theft,Apartment Parking Lot,1900-1999,CULLEN,BLVD
Theft,Apartment Parking Lot,1900-1999,CULLEN,BLVD
Theft,"Road, Street, or Sidewalk",800-899,ELLIOTT,ST
Theft,Apartment,1900-1999,CULLEN,BLVD
Theft,Commercial Building,2100-2199,ERNESTINE,ST
Burglary,Residence or House,3900-3999,RUSK,ST
Theft,Other Parking Lot,4000-4099,COYLE,ST
Robbery,Convenience Store,1000-1099,TELEPHONE,RD
Aggravated Assault,Convenience Store Parking Lot,4200-4299,POLK,-
Theft,Driveway,5000-5099,POLK,-
Burglary,"Road, Street, or Sidewalk",4400-4499,LEELAND,-
AutoTheft,Driveway,4900-4999,MCKINNEY,ST
Theft,Grocery Store or Supermarket,4000-4099,POLK,-
Theft,Residence or House,1500-1599,MUNGER,ST
Theft,Other Parking Lot,4000-4099,COYLE,ST
Theft,Apartment Parking Lot,1900-1999,CULLEN,BLVD
AutoTheft,Other Parking Lot,1300-1399,LOCKWOOD,DR
Robbery,"Road, Street, or Sidewalk",5300-5399,CLAY,ST
