Offense Type,Premise,BlockRange,StreetName,Type
Theft,Bar or Night Club Parking Lot,3100-3199,BERING,-
Theft,"Road, Street, or Sidewalk",3000-3099,CANAL ST,ST
Burglary,Restaurant or Cafeteria,2700-2799,NAVIGATION,-
Burglary,Restaurant or Cafeteria Parking Lot,2300-2399,CANAL,ST
Aggravated Assault,"Road, Street, or Sidewalk",1900-1999,LA BRANCH,-
Theft,Residence or House,5400-5499,SHERMAN,-
Theft,Auto Repair,5500-5599,HARRISBURG,BLVD
Theft,"Road, Street, or Sidewalk",5900-5999,BRADY ST,ST
Burglary,Miscellaneous Business (Non-Specific),3600-3699,NAVIGATION,-
Robbery,Residence or House,400-499,COWLING ST,ST
Robbery,"Road, Street, or Sidewalk",8500-8599,TIDWELL,RD
Aggravated Assault,Residence or House,200-299,N JENKINS ST,ST
Theft,"Road, Street, or Sidewalk",2300-2399,COMMERCE ST,ST
Theft,"Road, Street, or Sidewalk",2100-2199,RUNNELS,-
Theft,Commercial Parking Lot or Garage,100-199,GREENWOOD,ST
Theft,"Road, Street, or Sidewalk",400-499,EAST RIVER,DR
Aggravated Assault,Residence or House,3400-3499,MCASHAN ST,ST
Theft,Residence or House,400-499,N MILBY ST,ST
Theft,"Road, Street, or Sidewalk",1700-1799,MAGNOLIA LANE,-
Theft,Commercial Building,4000-4099,NAVIGATION BLVD,BLVD
Theft,Restaurant or Cafeteria,3400-3499,NAVIGATION,-
Theft,Commercial Parking Lot or Garage,2100-2199,RUNNELS,-
Aggravated Assault,Driveway,2300-2399,SPERBER,LN
Theft,"Multi-Plex Home (Duplex,Triplex Etc.)",100-199,DRENNAN ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",100-199,MILBY ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",1500-1599,DYER LAKE,LN
Theft,Apartment Parking Lot,4800-4899,FM 1010,-
Aggravated Assault,"Road, Street, or Sidewalk",300-399,ALTIC ST,ST
Theft,Driveway,2300-2399,ANN ST,ST
Robbery,Convenience Store,9400-9499,MISTY VALE LANE,-
Theft,Other Parking Lot,2300-2399,CANAL ST,ST
Theft,"Road, Street, or Sidewalk",2200-2299,CANAL ST,ST
Theft,Other Parking Lot,2600-2699,CANAL ST,ST
AutoTheft,Other Parking Lot,4700-4799,HARRISBURG,BLVD
Aggravated Assault,Residence or House,300-399,MOODY STREET,-
Robbery,"Road, Street, or Sidewalk",4100-4199,LAMAR ST APT 1,-
Theft,Other Parking Lot,4900-4999,HARRISBURG BLVD,BLVD
Aggravated Assault,"Road, Street, or Sidewalk",4000-4099,BERING,ST
Rape,"Road, Street, or Sidewalk",1900-1999,RUNNELS,-
Theft,"Road, Street, or Sidewalk",2300-2399,COMMERCE ST,ST
Burglary,Commercial Building,500-599,SAMPSON,-
Aggravated Assault,"Road, Street, or Sidewalk",4300-4399,WILMER,-
AutoTheft,Driveway,5500-5599,SHERMAN,-
Theft,Restaurant or Cafeteria Parking Lot,5800-5899,TEXAS,ST
Theft,Apartment Parking Lot,2100-2199,CANAL ST,ST
Theft,Apartment Parking Lot,2100-2199,CANAL ST,ST
Theft,Apartment Parking Lot,1900-1999,CULLEN BLVD,BLVD
Theft,Convenience Store,1600-1699,HENNINGER,-
Robbery,Apartment Parking Lot,1900-1999,CULLEN,BLVD
Theft,Grocery Store or Supermarket,4000-4099,POLK,-
Burglary,Vacant Building (Commercial),1700-1799,TELEPHONE,RD
Robbery,Auto Repair,3900-3999,POLK,-
AutoTheft,"Road, Street, or Sidewalk",4500-4599,POLK,-
Theft,Service or Gas Station,4700-4799,GULF,FWY
Theft,"Road, Street, or Sidewalk",1100-1199,EDDINGTON,-
Burglary,Apartment,4300-4399,LEELAND ST.,-
AutoTheft,Driveway,5100-5199,STONEWALL,-
Robbery,Service or Gas Station,8500-8599,COMAL,ST
Theft,Apartment,4400-4499,1/2 LEELAND ST,ST
Burglary,Residence or House,4300-4399,RUSK ST,ST
Burglary,Garage or Carport,4500-4599,WOODSIDE ST,ST
Aggravated Assault,Residence or House,4400-4499,CLAY,-
Burglary,"Multi-Plex Home (Duplex,Triplex Etc.)",4300-4399,LEELAND,-
AutoTheft,Apartment Parking Lot,4700-4799,PEASE ST,ST
Aggravated Assault,Residence or House,1500-1599,ELLIOTT ST,ST
Theft,Grocery Store or Supermarket Parking Lot,4000-4099,POLK,-
Burglary,Garage or Carport,5200-5299,BELL ST,ST
Theft,Driveway,5200-5299,BELL ST,ST
Theft,"Road, Street, or Sidewalk",1500-1599,HUTCHINS ST,ST
Theft,"Road, Street, or Sidewalk",1300-1399,HUTCHINS ST,ST
Theft,Other Parking Lot,1500-1599,SAINT EMANUEL ST,ST
Burglary,Residence or House,11300-11399,WINDY CREEK,DR
Theft,Other Parking Lot,7600-7699,GOUDIN,DR
Burglary,Apartment,100-199,COMMERCE,-
Theft,Bar or Night Club,3000-3099,LEELAND,-
Theft,"Road, Street, or Sidewalk",3000-3099,LEELAND,-
Theft,"Road, Street, or Sidewalk",2700-2799,MCKINNEY ST,ST
Robbery,"Road, Street, or Sidewalk",3500-3599,GULF FWY IB,-
Theft,Commercial Parking Lot or Garage,1500-1599,CHARTRES ST,ST
Theft,Bar or Night Club Parking Lot,1500-1599,HUTCHINS ST,ST
Theft,"Road, Street, or Sidewalk",2000-2099,CLAY ST,ST
Theft,Driveway,3100-3199,LEELAND,-
Aggravated Assault,"Road, Street, or Sidewalk",3500-3599,LAMAR,-
Theft,Bar or Night Club,1200-1299,HUTCHINS ST,ST
Theft,"Road, Street, or Sidewalk",700-799,SAINT CHARLES,-
Theft,"Road, Street, or Sidewalk",2800-2899,RUSK ST,ST
AutoTheft,"Road, Street, or Sidewalk",2800-2899,RUSK ST,ST
Theft,Other Parking Lot,1500-1599,CHARTRES ST,ST
Theft,"Road, Street, or Sidewalk",1200-1299,TRAVIS,ST
Theft,Driveway,700-799,DELANO,-
Burglary,Apartment,2400-2499,CAPITOL,ST
Theft,"Road, Street, or Sidewalk",100-199,SAINT EMANUEL ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",3300-3399,OZARK STREET,-
Theft,"Road, Street, or Sidewalk",2000-2099,COMMERCE ST,ST
Theft,"Road, Street, or Sidewalk",8100-8199,SUNNY RIDGE,DR
Theft,Other Parking Lot,6400-6499,BREAD,RD
Theft,Convenience Store,3500-3599,GULF,FWY
Theft,Commercial Or Training School,3500-3599,POLK,-
Burglary,"Vacant Single Occ Resd(House,Townhs,Dplex)",1200-1299,SAMPSON,-
Theft,Commercial Parking Lot or Garage,500-599,CHARTRES ST,ST
Theft,Other Parking Lot,8600-8699,RUSTLING LEAVES,DR
Theft,Bar or Night Club Parking Lot,1200-1299,TRAVIS,ST
Theft,Bar or Night Club Parking Lot,200-299,CRYSTAL ISLE,DR
Theft,"Road, Street, or Sidewalk",2200-2299,BELL ST,ST
Theft,Residence or House,2300-2399,CITYWEST,ST
Burglary,Residence or House,4600-4699,HOWARD LANE - SUITE 200,-
Theft,Commercial Parking Lot or Garage,1500-1599,SAINT EMANUEL ST,ST
Theft,Bar or Night Club Parking Lot,800-899,SAINT EMANUEL ST,ST
Theft,Bar or Night Club,2100-2199,LAMAR,-
Rape,Residence or House,1300-1399,EMILY MORGAN CIRCLE,-
Aggravated Assault,"Road, Street, or Sidewalk",8400-8499,COOLIDGE,-
AutoTheft,Auto Repair,2500-2599,GULF FWY IB,-
Theft,Miscellaneous Business (Non-Specific),3500-3599,GULF FWY IB,-
Theft,Other Parking Lot,8400-8499,MISTY VALE,-
Aggravated Assault,Bar or Night Club Parking Lot,1500-1599,SAINT EMANUEL ST,ST
Theft,"Road, Street, or Sidewalk",1000-1099,SAMPSON,-
Robbery,Restaurant or Cafeteria,900-999,SAINT EMANUEL,ST
Theft,Commercial Parking Lot or Garage,800-899,SAINT EMANUEL ST,ST
AutoTheft,Other Parking Lot,2400-2499,PRESTON ST,ST
AutoTheft,Convenience Store Parking Lot,1700-1799,EMANCIPATION AVE,-
Theft,Apartment Parking Lot,2400-2499,CAPITOL ST APT 1422,-
Theft,Apartment Parking Lot,2400-2499,CAPITOL ST,ST
Theft,Apartment Parking Lot,2300-2399,POLK ST APT 208,-
Theft,Apartment Parking Lot,2400-2499,VZ COUNYY RD 3416,-
Theft,Commercial Parking Lot or Garage,1000-1099,EMANCIPATION AVE,-
Theft,Apartment Parking Lot,2100-2199,CAPITOL ST,ST
Theft,Driveway,1200-1299,ROBERTS ST,ST
Theft,"Road, Street, or Sidewalk",2400-2499,EMERALD,CIR
Theft,"Road, Street, or Sidewalk",3600-3699,CRAWFORD ST,ST
Theft,Hospital,2600-2699,FANNIN ST,ST
Theft,Restaurant or Cafeteria,3400-3499,MILAM,-
Theft,Apartment Parking Lot,900-999,WINBERN,-
Theft,Other Parking Lot,13200-13299,CHELTON,ST
Theft,"Road, Street, or Sidewalk",3600-3699,CHENEVERT ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",3800-3899,SAN JACINTO ST,ST
AutoTheft,Vehicle/Auto Sales/Lease/Auto Parts Store,1000-1099,WEBSTER,ST
Burglary,Residence or House,1400-1499,DREW ST,ST
Theft,Bar or Night Club Parking Lot,1400-1499,TRUXILLO,-
Theft,Bar or Night Club Parking Lot,1500-1599,ALABAMA ST,ST
Robbery,Drug Store or Medical Supply,1000-1099,ELGIN,ST
AutoTheft,Bar or Night Club,3100-3199,MILAM,-
Robbery,"Road, Street, or Sidewalk",8800-8899,BROADWAY APT 5401,-
Theft,"Other, Unknown, or Not Listed",2300-2399,MILAM,-
AutoTheft,"Road, Street, or Sidewalk",3400-3499,LA BRANCH,-
Aggravated Assault,"Road, Street, or Sidewalk",5300-5399,PINE ARBOR,DR
Theft,Apartment,2300-2399,MAIN ST,ST
Aggravated Assault,Bar or Night Club,2300-2399,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",11600-11699,SPICEWOOD,PKWY
Theft,"Road, Street, or Sidewalk",1000-1099,GULF BANK,-
Theft,"Road, Street, or Sidewalk",2100-2199,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",2300-2399,AUSTIN ST,ST
Theft,"Road, Street, or Sidewalk",800-899,WEBSTER ST,ST
Theft,Commercial Parking Lot or Garage,UNK,FOXWORTH,CT
Burglary,Restaurant or Cafeteria,3600-3699,MAIN,ST
Theft,Apartment Parking Lot,2300-2399,LOUISIANA ST,ST
Theft,Bar or Night Club Parking Lot,3700-3799,TRAVIS,-
Robbery,Bar or Night Club,2400-2499,SAN JACINTO ST,ST
Robbery,"Road, Street, or Sidewalk",4200-4299,SAN JACINTO ST,ST
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,ST
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,ST
Theft,Restaurant or Cafeteria,2600-2699,LOUISIANA,ST
Theft,Other Parking Lot,500-599,MCKINNEY,ST
Aggravated Assault,Restaurant or Cafeteria,2000-2099,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",2100-2199,NORTHWOOD TERRACE,-
Theft,Other Parking Lot,1500-1599,TRUXILLO,-
Theft,"Road, Street, or Sidewalk",1700-1799,BREMOND ST,ST
Theft,Driveway,1600-1699,HOLMAN,-
Aggravated Assault,"Road, Street, or Sidewalk",1600-1699,CLEBURNE ST,ST
Robbery,"Road, Street, or Sidewalk",2000-2099,FANNIN ST,ST
Theft,Government or Public Building,2500-2599,SAN JACINTO,-
Theft,"Road, Street, or Sidewalk",1500-1599,TRUXILLO,-
Theft,"Road, Street, or Sidewalk",700-799,STUART,-
Theft,Other Parking Lot,12300-12399,ORMANDY,-
Theft,"Road, Street, or Sidewalk",1500-1599,ISABELLA,-
Theft,"Road, Street, or Sidewalk",1000-1099,DENNIS ST,ST
Theft,"Road, Street, or Sidewalk",3600-3699,FANNIN ST,ST
Robbery,Bar or Night Club Parking Lot,2400-2499,B CALUMET,ST
Theft,Residence or House,2400-2499,CHENEVERT ST,ST
Theft,"Road, Street, or Sidewalk",1100-1199,MCILHENNY,ST
Burglary,Apartment,1700-1799,BRIGHTLAKE,WAY
Theft,Bar or Night Club,2300-2399,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",1400-1499,HADLEY ST,ST
Theft,Residence or House,1300-1399,ROSALIE,-
Theft,Residence or House,1400-1499,CLEBURNE ST,ST
Theft,"Road, Street, or Sidewalk",3800-3899,LA BRANCH,-
Theft,"Road, Street, or Sidewalk",1000-1099,MCILHENNY ST,ST
Theft,"Road, Street, or Sidewalk",3500-3599,TRAVIS ST,ST
Theft,"Road, Street, or Sidewalk",2300-2399,MAIN ST,ST
Robbery,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",3800-3899,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",3700-3799,FANNIN ST,ST
Theft,Garage or Carport,2500-2599,TRAVIS ST,ST
Aggravated Assault,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN ST,ST
Theft,Garage or Carport,2300-2399,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",1000-1099,HADLEY ST,ST
Theft,"Road, Street, or Sidewalk",2300-2399,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",3800-3899,LA BRANCH,-
Theft,Restaurant or Cafeteria,1000-1099,GRAY ST,ST
Aggravated Assault,Apartment,1700-1799,GRAY ST APT 130,-
Theft,"Road, Street, or Sidewalk",3600-3699,TRAVIS ST,ST
Theft,Bar or Night Club,6700-6799,SHERMAN,ST
Theft,Residence or House,2900-2999,CHENEVERT ST,ST
Robbery,"Road, Street, or Sidewalk",2300-2399,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",700-799,SKYLARK,-
Theft,Residence or House,4200-4299,SAN JACINTO,ST
Robbery,Convenience Store Parking Lot,2100-2199,HOMELESS,-
Theft,"Road, Street, or Sidewalk",1500-1599,PO BOX 106169,-
Theft,"Road, Street, or Sidewalk",4400-4499,SANDY WATER,LN
Robbery,"Road, Street, or Sidewalk",1600-1699,HOMELESS,-
Robbery,"Road, Street, or Sidewalk",2600-2699,CAROLINE ST,ST
Theft,"Road, Street, or Sidewalk",2300-2399,LOUISIANA ST,ST
Theft,"Road, Street, or Sidewalk",3900-3999,LA BRANCH,-
Theft,Bar or Night Club Parking Lot,2300-2399,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",6800-6899,RIDGEWAY,-
Theft,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Theft,"Road, Street, or Sidewalk",UNK,ALMEDA RD /WINBERN,-
Theft,Commercial Building,2100-2199,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",5300-5399,HEATHERBROOK,DR
Robbery,"Road, Street, or Sidewalk",8900-8999,SWEET BLUE JASMINE,LN
Robbery,"Road, Street, or Sidewalk",1100-1199,ANITA ST,ST
Aggravated Assault,Bar or Night Club,2400-2499,SAN JACINTO ST,ST
Theft,"Road, Street, or Sidewalk",2700-2799,OAT HARVEST,ST
Theft,"Road, Street, or Sidewalk",3000-3099,COVEBROOK,DR
Theft,"Road, Street, or Sidewalk",3200-3299,LOUISIANA ST,ST
