Offense Type,Premise,BlockRange,StreetName,Type
Theft,Service or Gas Station,500-599,LOCKWOOD DR,-
Rape,Police Station,UNK,CLIFTON,-
Rape,Residence or House,UNK,CLIFTON,-
Burglary,"Physician, Doctor, Dentist's Office",5100-5199,HARRISBURG,BLVD
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,-
Theft,Residence or House,4300-4399,WILMER,-
Burglary,Residence or House,400-499,N LIVE OAK ST,ST
Burglary,Residence or House,200-299,ST CHARLES,-
Aggravated Assault,Apartment,400-499,COWLING ST,ST
Aggravated Assault,"Multi-Plex Home (Duplex,Triplex Etc.)",UNK,GREENWOOD STREET,-
Rape,Residence or House,2900-2999,ENGELKE,-
Theft,Commercial Building,3400-3499,NAVIGATION,-
Burglary,Residence or House,300-399,ALTIC ST,ST
Theft,Other Parking Lot,300-399,S JENSEN DR,-
Aggravated Assault,Apartment,3100-3199,STALLINGS,-
AutoTheft,Other Parking Lot,4600-4699,SHERMAN,-
Burglary,"Other, Unknown, or Not Listed",5100-5199,HARRISBURG,BLVD
AutoTheft,Miscellaneous Business (Non-Specific),500-599,SAMPSON,-
Theft,Residence or House,300-399,N LIVE OAK ST,ST
Theft,Driveway,200-299,SAMPSON,-
Aggravated Assault,"Road, Street, or Sidewalk",4600-4699,HARRISBURG BLVD,BLVD
Theft,Vacant Building (Commercial),31900-31999,TX HIGHWAY 249,-
Theft,Other Parking Lot,4400-4499,BELVOIR,CT
Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,4700-4799,HARRISBURG,BLVD
Theft,Apartment Parking Lot,2100-2199,RUNNELS,-
Burglary,Bar or Night Club,4100-4199,DARTMOUTH,-
Theft,Residence or House,4300-4399,WILMER,-
Theft,Residence or House,300-399,N SUPER ST,ST
Theft,Restaurant or Cafeteria,2300-2399,NAVIGATION,-
Burglary,"Other, Unknown, or Not Listed",5300-5399,CANAL,ST
AutoTheft,Vehicle/Auto Sales/Lease/Auto Parts Store,4700-4799,HARRISBURG,BLVD
Theft,Restaurant or Cafeteria Parking Lot,2800-2899,NAVIGATION,-
Theft,"Road, Street, or Sidewalk",300-399,N SAMPSON ST,ST
Rape,Apartment,5200-5299,POLK,-
Burglary,Residence or House,1400-1499,LAWSON,-
Theft,Service or Gas Station,4700-4799,GULF FWY IB,-
Burglary,Residence or House,4200-4299,RUSK,ST
AutoTheft,"Road, Street, or Sidewalk",5200-5299,JEFFERSON ST,ST
Theft,Driveway,1200-1299,ELLISTON ST,ST
Robbery,Grocery Store or Supermarket,4000-4099,POLK,-
Aggravated Assault,Convenience Store Parking Lot,1400-1499,TELEPHONE RD,RD
Aggravated Assault,"Road, Street, or Sidewalk",1400-1499,TELEPHONE RD,RD
Burglary,Residence or House,1200-1299,TRAVIS,ST
Burglary,Residence or House,700-799,DELMAR,ST
AutoTheft,Restaurant or Cafeteria Parking Lot,5300-5399,POLK,-
AutoTheft,Driveway,4400-4499,BELL ST,ST
Aggravated Assault,Residence or House,5100-5199,CLAY ST,ST
AutoTheft,"Road, Street, or Sidewalk",3800-3899,WOODLEIGH APT 2,-
Aggravated Assault,Apartment,4300-4399,LEELAND,-
Robbery,"Road, Street, or Sidewalk",4400-4499,MCKINNEY ST,ST
Burglary,Garage or Carport,4700-4799,BELL ST,ST
Burglary,Apartment,1300-1399,BAYOU OAKS VISTA DR APT 1316,-
Theft,Driveway,4900-4999,PARK DR,-
AutoTheft,"Road, Street, or Sidewalk",5300-5399,CLAREMONT ST,ST
Theft,"Road, Street, or Sidewalk",4400-4499,CLAY ST,ST
Theft,Restaurant or Cafeteria,700-799,TELEPHONE RD,RD
Theft,Commercial Parking Lot or Garage,2000-2099,LEELAND,-
Robbery,"Road, Street, or Sidewalk",2000-2099,PEASE ST,ST
AutoTheft,"Road, Street, or Sidewalk",3200-3299,MCKINNEY ST,ST
Theft,Other Parking Lot,30400-30499,HIGHLAND,BLVD
Theft,Apartment,2400-2499,CAPITOL,ST
Theft,"Road, Street, or Sidewalk",700-799,LIVE OAK,-
AutoTheft,Driveway,1000-1099,SAINT CHARLES,-
Theft,Other Parking Lot,2000-2099,COMMERCE ST,ST
Theft,Other Parking Lot,2400-2499,POLK,-
Theft,Other Parking Lot,2400-2499,LAMAR,-
Theft,"Road, Street, or Sidewalk",1500-1599,HUTCHINS ST,ST
Robbery,Other Parking Lot,14700-14799,RIDGECHASE,LN
Theft,Bar or Night Club Parking Lot,2100-2199,RUSK ST,ST
Theft,Commercial Parking Lot or Garage,2200-2299,PRESTON ST,ST
Robbery,Restaurant or Cafeteria,900-999,SAINT EMANUEL,ST
Theft,"Road, Street, or Sidewalk",1800-1899,BASTROP ST,ST
Theft,Bar or Night Club Parking Lot,2200-2299,PRESTON ST,ST
Theft,"Road, Street, or Sidewalk",2700-2799,VELA,-
Theft,"Road, Street, or Sidewalk",2400-2499,PRESTON ST,ST
Theft,"Daycare, Child Care, or Kindergarten",1900-1999,NAPOLEON,-
Theft,Apartment Parking Lot,2100-2199,CAPITOL ST,ST
Theft,"Road, Street, or Sidewalk",2700-2799,DALLAS ST,ST
Theft,Apartment,2100-2199,CAPITOL ST,ST
Theft,Other Parking Lot,2400-2499,HARRISBURG BLVD,BLVD
Theft,Bar or Night Club Parking Lot,800-899,SAINT EMANUEL ST,ST
Theft,Apartment,4200-4299,FIELD MEADOW,DR
Theft,"Road, Street, or Sidewalk",2400-2499,BRAESWOOD BLVD UNIT 23,-
Theft,Driveway,4100-4199,DEERBRIAR RUN DR.,-
Theft,"Road, Street, or Sidewalk",1200-1299,EMANCIPATION AVE,-
Robbery,"Road, Street, or Sidewalk",2000-2099,COMMERCE ST,ST
Theft,Residence or House,1800-1899,DELANO,-
Theft,Bar or Night Club Parking Lot,1500-1599,SAINT EMANUEL ST,ST
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,-
AutoTheft,"Road, Street, or Sidewalk",2000-2099,WALKER ST,ST
Robbery,"Road, Street, or Sidewalk",1900-1999,SCOTT ST,ST
AutoTheft,"Road, Street, or Sidewalk",800-899,SAINT EMANUEL ST,ST
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,-
Aggravated Assault,"Other, Unknown, or Not Listed",11200-11299,SAGE ARBOR,-
Theft,Apartment,2400-2499,CAPITOL ST,ST
Theft,"Road, Street, or Sidewalk",2100-2199,POLK,-
Aggravated Assault,"Road, Street, or Sidewalk",2000-2099,COMMERCE ST,ST
Theft,Commercial Parking Lot or Garage,2300-2399,CONGRESS,-
Burglary,Residence or House,1200-1299,SAMPSON,-
Theft,Other Parking Lot,2200-2299,PO BOX 9690,-
Theft,Other Parking Lot,17500-17599,SHELBURNE LANE,-
Theft,Other Parking Lot,21000-21099,IRONCREST LANE,-
Theft,Commercial Parking Lot or Garage,2100-2199,CONGRESS,-
Theft,Commercial Parking Lot or Garage,2000-2099,PRESTON ST,ST
Theft,Garage or Carport,1300-1399,LIVE OAK,-
Theft,"Road, Street, or Sidewalk",2600-2699,POLK,-
AutoTheft,Apartment Parking Lot,1000-1099,SAINT CHARLES,-
Robbery,"Road, Street, or Sidewalk",2400-2499,LAMAR,-
Theft,"Road, Street, or Sidewalk",800-899,SAINT CHARLES,-
Aggravated Assault,Bar or Night Club,200-299,RIVER BASIN LN.,-
Robbery,"Road, Street, or Sidewalk",3200-3299,MCKINNEY,ST
Theft,Other Parking Lot,1900-1999,MILLER,-
Theft,"Road, Street, or Sidewalk",2400-2499,MCKINNEY ST,ST
Theft,Other Parking Lot,1500-1599,SAINT EMANUEL ST,ST
Theft,"Road, Street, or Sidewalk",400-499,EMANCIPATION AVE,-
Robbery,Commercial Parking Lot or Garage,900-999,GINGER TRAIL,-
Aggravated Assault,"Road, Street, or Sidewalk",2000-2099,CONGRESS,-
Theft,"Road, Street, or Sidewalk",2300-2399,DALLAS ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",900-999,GRAY ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",4300-4399,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",6300-6399,ALMEDA RD.,-
Theft,"Road, Street, or Sidewalk",800-899,HADLEY ST,ST
Theft,"Road, Street, or Sidewalk",4400-4499,ADONIS,DR
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,-
Theft,"Road, Street, or Sidewalk",500-599,BRAND,LN
Robbery,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Aggravated Assault,"Road, Street, or Sidewalk",1000-1099,GRAY ST,ST
AutoTheft,Other Parking Lot,2900-2999,HAMILTON ST,ST
Theft,Apartment Parking Lot,2300-2399,LOUISIANA ST,ST
Theft,"Road, Street, or Sidewalk",4500-4599,JAMAICA,DR
Aggravated Assault,Residence or House,500-599,THORNTON,RD
Theft,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Robbery,Convenience Store,2100-2199,MAIN ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",1800-1899,COMMERCE STREET,-
Theft,"Road, Street, or Sidewalk",2200-2299,ST. EMANUEL,-
Theft,Bus Station,11500-11599,ROCKFORD,RD
Robbery,Restaurant or Cafeteria,1100-1199,HOLMAN,-
Robbery,"Road, Street, or Sidewalk",4500-4599,MAIN ST,ST
Aggravated Assault,Residence or House,1300-1399,TUAM,-
Theft,"Road, Street, or Sidewalk",3500-3599,CHENEVERT ST,ST
Theft,"Road, Street, or Sidewalk",1200-1299,LOOP,-
Aggravated Assault,Other Parking Lot,4400-4499,PO BOX 7264,-
Theft,"Church, Synagogue, or Temple Parking Lot",4000-4099,MAIN ST,ST
Burglary,Miscellaneous Business (Non-Specific),3300-3399,MAIN,ST
Theft,"Road, Street, or Sidewalk",19500-19599,PETTY WALKER,-
Burglary,Apartment,3800-3899,FANNIN ST,ST
Theft,Bar or Night Club Parking Lot,5700-5799,RIDGEWAY,-
Theft,Bus Station,2100-2199,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",2100-2199,FANNIN ST,ST
Robbery,"Road, Street, or Sidewalk",900-999,ROSEWOOD,-
Aggravated Assault,Rehabilitation Center,2600-2699,CAROLINE ST,ST
Aggravated Assault,Strip Business Center Parking Lot,4300-4399,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",17300-17399,PINE CUT,-
AutoTheft,"Road, Street, or Sidewalk",UNK,FLORENCE WAY DRIVE,-
Aggravated Assault,"Road, Street, or Sidewalk",1100-1199,2 ROSEDALE,ST
Robbery,"Road, Street, or Sidewalk",12900-12999,ABALONE,WAY
Theft,Restaurant or Cafeteria Parking Lot,2900-2999,MILAM,-
Theft,"Other, Unknown, or Not Listed",2900-2999,CHENEVERT ST,ST
Theft,Apartment,4600-4699,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",1100-1199,BERRY ST,ST
Theft,Other Parking Lot,2500-2599,SAN JACINTO ST,ST
Robbery,Restaurant or Cafeteria,1100-1199,HOLMAN,-
Theft,"Road, Street, or Sidewalk",700-799,MCGOWEN ST,ST
Burglary,Residence or House,2800-2899,AUSTIN ST,ST
Theft,"Road, Street, or Sidewalk",700-799,ROSALIE,-
AutoTheft,Other Parking Lot,4100-4199,FANNIN ST,ST
Theft,Restaurant or Cafeteria Parking Lot,3400-3499,MILAM,-
Theft,"Road, Street, or Sidewalk",3500-3599,TRAVIS ST,ST
Aggravated Assault,Light Rail Platform,3500-3599,MAIN ST,ST
Theft,Apartment,6500-6599,SOUTH RAIL ROAD,-
Theft,Bar or Night Club,2300-2399,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",2900-2999,CCHENEVERT UNIT L,-
Theft,Grocery Store or Supermarket,300-399,NEWCOM,LN
Theft,Apartment Parking Lot,4600-4699,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,-
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,-
Theft,Bar or Night Club Parking Lot,700-799,MCGOWEN ST,ST
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,-
Theft,Other Parking Lot,4900-4999,MAGNOLIA COVE DRIVE,-
Burglary,Residence or House,2800-2899,AUSTIN ST,ST
Theft,"Other, Unknown, or Not Listed",4000-4099,CAROLINE ST,ST
Theft,Apartment,4000-4099,FANNIN ST,ST
Theft,Service or Gas Station,3800-3899,PO BOX 21099,-
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,-
Theft,Bus Station,2100-2199,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",UNK,PARK CIRCLE,-
Theft,"Road, Street, or Sidewalk",1000-1099,BERRY ST,ST
Theft,"Road, Street, or Sidewalk",1000-1099,BERRY ST,ST
Theft,Bus Station,700-799,GELLHORN,DR
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,ST
Aggravated Assault,Light Rail Platform,3500-3599,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",3200-3299,TRAVIS ST,ST
