Offense Type,Premise,BlockRange,StreetName,Type
Theft,Commercial Parking Lot or Garage,6000-6099,CANAL,ST
Rape,Residence or House,200-299,N LENOX ST,ST
Burglary,Apartment,1900-1999,RUNNELS,-
Aggravated Assault,"Road, Street, or Sidewalk",2000-2099,RUNNELS,-
Aggravated Assault,"Road, Street, or Sidewalk",400-499,LOCKWOOD DR,-
Theft,Driveway,2700-2799,ENGELKE,-
Aggravated Assault,Residence or House,6200-6299,SHERMAN,-
Theft,Other Parking Lot,4000-4099,WILDWOOD VALLEY,CT
AutoTheft,"Road, Street, or Sidewalk",700-799,SUPER APT A,-
Theft,Driveway,100-199,ADAM LN,-
AutoTheft,"Other, Unknown, or Not Listed",100-199,EASTWOOD ST,ST
Theft,Convenience Store,5400-5499,HARRISBURG,BLVD
Aggravated Assault,Residence or House,200-299,LENOX,-
Theft,Miscellaneous Business (Non-Specific),500-599,SAMPSON,-
Theft,Department or Discount Store,3400-3499,NAVIGATION,-
AutoTheft,Driveway,UNK,STILES,-
Theft,Social Services or Public Charities,300-399,JENSEN,DR
Theft,Hotel or Motel Parking Lot,2900-2999,COMMERCE ST,ST
Aggravated Assault,Apartment,5900-5999,BRADY ST,ST
AutoTheft,Driveway,3800-3899,LOVEJOY ST,ST
Theft,"Road, Street, or Sidewalk",2900-2999,COMMERCE ST,ST
Theft,Residence or House,7100-7199,OLD KATY,RD
Theft,Other Parking Lot,10300-10399,AVES STREET,-
Theft,Construction Site,3200-3299,MADISON ELM,ST
AutoTheft,"Road, Street, or Sidewalk",2200-2299,COMMERCE,ST
Theft,"Other, Unknown, or Not Listed",5400-5499,SHERMAN,-
Burglary,Residence or House,4800-4899,SHERMAN,-
Aggravated Assault,Residence or House,100-199,COACH LAMP LN.,-
Rape,Residence or House,6200-6299,WESTPARK,DR
Theft,"Road, Street, or Sidewalk",2300-2399,COMMERCE ST,ST
Aggravated Assault,Commercial Parking Lot or Garage,26300-26399,HUNTERS HOLLOW,DR
AutoTheft,Driveway,200-299,BURR,-
Theft,Other Parking Lot,2100-2199,CANAL ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",3000-3099,COMMERCE ST,ST
Aggravated Assault,Apartment,200-299,HUTCHESON,ST
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,-
Burglary,"Physician, Doctor, Dentist's Office",2500-2599,CANAL,ST
Robbery,Commercial Parking Lot or Garage,2800-2899,CANAL ST 201,-
Theft,Apartment Parking Lot,1800-1899,STATE,ST
Burglary,Apartment,1900-1999,RUNNELS,-
Aggravated Assault,Residence or House,3000-3099,PRESTON STREET,-
Theft,Apartment Parking Lot,2100-2199,RUNNELS,-
Burglary,Residence or House,3900-3999,COYLE ST,ST
Aggravated Assault,"Multi-Plex Home (Duplex,Triplex Etc.)",4400-4499,BELL,ST
Theft,"Road, Street, or Sidewalk",4100-4199,LEELAND,-
Burglary,Residence or House,4800-4899,WALKER ST,ST
Burglary,Apartment,1400-1499,GUSTAV,-
Theft,Driveway,2000-2099,HENNINGER,-
AutoTheft,"Road, Street, or Sidewalk",5100-5199,PEASE ST,ST
Theft,Driveway,5200-5299,POLK,-
AutoTheft,Bar or Night Club Parking Lot,5100-5199,LAWNDALE,-
Theft,Office Building,5400-5499,POLK,-
Theft,"Road, Street, or Sidewalk",4700-4799,RUSK ST,ST
Theft,Commercial Parking Lot or Garage,400-499,TELEPHONE RD,RD
Theft,"Road, Street, or Sidewalk",4400-4499,BELL ST,ST
Theft,Service or Gas Station,11500-11599,SABO,RD
Theft,Residence or House,4200-4299,RUSK ST,ST
Burglary,Residence or House,1400-1499,MUNGER STREET,-
Burglary,Residence or House,5200-5299,LINDSAY,-
Theft,"Multi-Plex Home (Duplex,Triplex Etc.)",4400-4499,BELL ST,ST
Theft,Garage or Carport,4600-4699,WOODSIDE ST,ST
Theft,Other Parking Lot,2100-2199,TEXAS ST,ST
Theft,Garage or Carport,2000-2099,TEXAS ST,ST
AutoTheft,Apartment Parking Lot,2200-2299,MCKINNEY ST,ST
Burglary,"Toys, Arts Craft,Musical, Bike,Pet Stores",3100-3199,LEELAND,-
AutoTheft,Other Parking Lot,4700-4799,AIRPORT,BLVD
Theft,Other Parking Lot,12700-12799,FERN FOREST,ST
AutoTheft,"Road, Street, or Sidewalk",800-899,EMANCIPATION AVE,-
Theft,"Road, Street, or Sidewalk",5800-5899,CLERKENWELL,DR
Theft,Driveway,3300-3399,MCKINNEY ST,ST
Theft,Apartment Parking Lot,1700-1799,ADEN DR,-
Theft,Driveway,1700-1799,ADEN DR,-
Theft,"Road, Street, or Sidewalk",2700-2799,BELL ST,ST
Theft,Driveway,1700-1799,ADEN MIST DR,-
Theft,Apartment Parking Lot,1300-1399,LIVE OAK,-
Theft,"Road, Street, or Sidewalk",1700-1799,ADEN DR,-
Theft,Apartment Parking Lot,1300-1399,LIVE OAK,-
Theft,Apartment Parking Lot,1300-1399,LIVE OAK,-
Aggravated Assault,"Road, Street, or Sidewalk",2700-2799,GLEN HAVEN,DR
Theft,"Other, Unknown, or Not Listed",2600-2699,CAPITOL ST,ST
Theft,"Road, Street, or Sidewalk",100-199,ACACIA,-
Theft,"Road, Street, or Sidewalk",2200-2299,BELL ST,ST
Theft,"Road, Street, or Sidewalk",6500-6599,BROOKFIELD,DR
Theft,"Road, Street, or Sidewalk",4200-4299,BARBERRY,-
Theft,"Road, Street, or Sidewalk",1700-1799,ADEN MIST DR,-
AutoTheft,"Road, Street, or Sidewalk",1500-1599,PALMER ST,ST
Robbery,"Road, Street, or Sidewalk",700-799,LIVE OAK,-
Theft,"Road, Street, or Sidewalk",15000-15099,GLENWATER,CT
Theft,Residence or House,1700-1799,ADEN MIST DR,-
Theft,Residence or House,1300-1399,PAIGE,-
Robbery,"Road, Street, or Sidewalk",1400-1499,HUTCHINS ST,ST
Theft,"Road, Street, or Sidewalk",700-799,PAIGE ST,ST
Theft,"Road, Street, or Sidewalk",800-899,PAIGE,-
Theft,"Road, Street, or Sidewalk",700-799,PAIGE ST,ST
Theft,Residence or House,3100-3199,LEELAND,-
Theft,"Road, Street, or Sidewalk",4700-4799,AVENUE H,-
