Latitude,Longtitude
29.75366,-95.34504659999999
29.7521013,-95.3419874
29.7533055,-95.34218109999999
29.7524258,-95.3407081
29.7527267,-95.33918220000001
29.7491897,-95.3372918
29.7527267,-95.33918220000001
29.7620542,-95.3504329
29.7546081,-95.3411336
29.7484691,-95.32599069999999
29.7441351,-95.33241609999999
29.7646579,-95.3429984
29.7447461,-95.32820749999999
29.7592103,-95.3486503
29.7646579,-95.3429984
29.7425806,-95.3167766
29.7433247,-95.3245433
29.7456175,-95.3315942
29.7516931,-95.3103771
29.7447461,-95.32820749999999
